date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.2476,4.698,1.065,1.12,,34,119.64
2021-12-02,0.2345,6.056,1.134,0.541,,32,107.875
2021-12-03,0.2147,6.666,1.062,1.058,,31,108.279
2021-12-04,0.1594,5.616,0.889,1.01,,25,92.986
2021-12-05,0.1594,5.446,0.9,1.541,,18,86.315
2021-12-06,0.1594,4.181,0.872,1.053,,16,92.883
2021-12-07,0.1513,4.085,0.92,1.47,,25,89.543
2021-12-08,0.1513,4.251,0.88,1.277,,28,93.188
2021-12-09,0.1513,4.576,0.883,0.726,,29,85.406
2021-12-10,0.1466,4.578,0.876,0.626,,24,80.542
2021-12-11,0.2019,5.1,0.878,0.831,,16,86.511
2021-12-12,0.189,4.769,0.893,0.952,,27,87.914
2021-12-13,0.189,4.82,0.892,0.77,,28,79.008
2021-12-14,0.1906,2.79,0.882,0.659,,21,87.136
2021-12-15,0.1906,1.24,0.981,0.972,,28,101.156
2021-12-16,0.182,1.4,0.986,1.091,,29,98.318
2021-12-17,0.182,1.373,0.98,0.877,,23,110.747
2021-12-18,0.1722,1.161,0.977,0.776,,24,115.896
2021-12-19,0.1852,2.038,0.959,0.586,,29,107.529
2021-12-20,0.1852,1.918,0.945,0.903,,25,113.515
2021-12-21,0.1809,1.301,0.975,0.796,,27,123.154
2021-12-22,0.1809,1.861,1.005,1.32,,45,116.657
2021-12-23,0.1895,2.247,0.954,1.195,,34,121.437
2021-12-24,0.1895,2.607,0.971,1.072,,41,114.877
2021-12-25,0.1993,3.371,0.922,1.844,,39,114.985
2021-12-26,0.1993,3.428,0.941,1.051,,37,115.068
2021-12-27,0.1993,3.413,0.945,0.9,,40,113.828
2021-12-28,0.21,3.478,0.926,0.851,,41,107.002
2021-12-29,0.21,3.771,0.937,0.479,,27,103.074
2021-12-30,0.21,3.638,0.94,0.983,,22,101.732
2021-12-31,0.21,,,,,28,109.46
2022-01-01,0.21,,,,,21,114.107
2022-01-02,0.21,,,,,29,113.064
2022-01-03,0.21,,,,,29,108.099
2022-01-04,0.21,,,,,23,103.327
2022-01-05,0.21,,,,,24,97.358
2022-01-06,0.21,,,,,15,95.068
2022-01-07,0.2056,,,,,18,86.685
2022-01-08,0.2056,,,,,10,83.845
2022-01-09,0.2049,,,,,23,89.32
2022-01-10,0.1826,,,,,23,84.368
2022-01-11,0.165,,,,,21,89.525
2022-01-12,0.1433,,,,,22,95.9
2022-01-13,0.1433,,,,,21,89.686
2022-01-14,0.1477,,,,,21,90.346
2022-01-15,0.1477,,,,,23,92.994
2022-01-16,0.1484,,,,,21,92.237
2022-01-17,0.1707,,,,,22,86.653
2022-01-18,0.1869,,,,,24,85.985
2022-01-19,0.2086,5.109,,,,24,82.543
2022-01-20,0.2086,5.129,,,,24,79.213
2022-01-21,0.1804,4.042,,,,19,66.027
2022-01-22,0.161,3.104,,,,13,59.771
2022-01-23,0.0917,2.986,,,,11,64.76
2022-01-24,0.0543,3.119,,,,13,62.967
2022-01-25,0.0474,2.631,,,,12,67.94
2022-01-26,0.0142,2.827,,,,23,65.83
2022-01-27,-0.0704,3.025,,,,20,64.66
2022-01-28,-0.1068,2.215,,,,24,66.93
2022-01-29,-0.1109,1.805,,,,24,71.87
2022-01-30,-0.0728,2.421,0.953,0.878,,29,67.91
2022-01-31,-0.0887,1.759,,,,20,69.82
2022-02-01,-0.0845,1.991,,,,26,73.29
2022-02-02,-0.0623,2.285,,,,28,67.78
2022-02-03,-0.0541,1.658,,,,20,68.41
2022-02-04,-0.0353,1.235,,,,20,77.75
2022-02-05,-0.0118,1.669,,,,33,76.98
2022-02-06,0.019,2.015,,,,37,78.9
2022-02-07,0.0631,2.391,,,,45,83.17
2022-02-08,-0.0947,2.352,,,,48,86.31
2022-02-09,-0.1078,2.04,,,,54,89.96
2022-02-10,-0.0607,1.699,,,,50,91.15
2022-02-11,-0.0215,2.36,,,,50,81.71
2022-02-12,-0.0215,2.644,,,,44,81.26
2022-02-13,-0.0506,2.622,,,,44,77.87
2022-02-14,-0.0551,2.173,,,,46,81.81
2022-02-15,0.091,1.291,,,,46,92.96
2022-02-16,0.1151,1.114,,,,51,95.25
2022-02-17,0.1443,1.844,,,,52,88.17
2022-02-18,0.1412,2.303,,,,30,83.62
2022-02-19,0.1179,2.226,,,,25,84.97
2022-02-20,0.1371,2.432,,,,27,77.27
2022-02-21,0.1053,2.169,,,,25,69.98
2022-02-22,0.0679,1.863,,,,20,74.36
2022-02-23,0.0425,1.441,,,,25,73.41
2022-02-24,0.0156,1.558,,,,23,76.36
2022-02-25,0.0117,1.6,,,,27,80.93
2022-02-26,0.0175,1.632,,,,26,81.77
2022-02-27,-0.0254,2.112,,,,26,74.99
2022-02-28,-0.1096,2.084,,,48.9,20,84.49
2022-03-01,-0.0563,1.956,,,70.0,51,86.86
2022-03-02,-0.0309,2.188,,,73.3,52,83.29
2022-03-03,-0.0101,2.437,,,82.2,39,78.42
2022-03-04,-0.0035,2.529,,,72.2,33,75.74
2022-03-05,-0.0023,2.639,,,71.1,22,76.63
2022-03-06,0.0213,2.648,,,65.6,22,72.45
2022-03-07,0.122,2.643,,,1.1,23,71.64
2022-03-08,0.1141,2.818,,,74.4,21,72.94
2022-03-09,0.1097,2.68,,,85.6,22,77.58
2022-03-10,0.0991,3.151,,,75.6,28,73.89
2022-03-11,0.0865,3.322,,,76.7,22,71.18
2022-03-12,0.0582,3.205,,,76.7,22,70.87
2022-03-13,0.0558,3.046,,,63.3,21,67.9
2022-03-14,0.0494,3.799,,,77.8,23,68.92
2022-03-15,0.0232,2.343,,,66.7,21,69.8
2022-03-16,0.0232,2.241,,,77.8,24,74.06
2022-03-17,0.0399,1.331,,,98.9,27,79.38
2022-03-18,0.0597,1.267,,,100.0,25,85.72
2022-03-19,0.1042,1.17,,,100.0,28,89.53
2022-03-20,0.1362,1.668,,,97.8,31,84.82
2022-03-21,0.1651,2.56,,,97.8,30,86.21
2022-03-22,0.1781,3.483,,,96.7,26,83.89
2022-03-23,0.1389,4.409,,,94.4,31,85.94
2022-03-24,0.1168,3.877,,,97.8,40,87.55
2022-03-25,0.0948,4.322,,,91.1,47,83.48
2022-03-26,0.0738,4.006,,,92.2,51,85.85
2022-03-27,0.0738,4.345,,,95.6,49,89.89
2022-03-28,0.0802,3.493,,,90.0,60,89.56
2022-03-29,0.1014,3.577,,,90.0,56,92.74
2022-03-30,0.1449,3.625,,,97.8,55,95.57
2022-03-31,0.167,3.862,,,96.7,52,97.46
2022-04-01,0.189,3.899,,,95.6,50,96.82
2022-04-02,0.21,4.072,,,98.9,52,96.22
