date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.2018,2.724,0.868,0.856,,34,627.45
2021-12-02,0.1206,2.939,0.867,0.814,,32,620.37
2021-12-03,0.0682,3.846,0.841,1.085,,31,595.17
2021-12-04,0.0424,4.113,0.775,1.107,,25,568.07
2021-12-05,-0.0087,3.186,0.739,1.653,,18,557.65
2021-12-06,-0.0255,2.834,0.812,0.523,,16,586.8
2021-12-07,-0.2444,2.572,0.83,1.405,,25,578.34
2021-12-08,-0.3685,2.165,0.824,0.774,,28,607.05
2021-12-09,-0.4967,3.174,0.866,0.456,,29,569.26
2021-12-10,-0.6845,3.02,0.87,0.657,,24,551.94
2021-12-11,-0.7704,3.369,0.829,1.095,,16,564.12
2021-12-12,-0.8767,3.297,0.862,1.484,,27,569.58
2021-12-13,-0.9727,3.663,0.864,2.175,,28,520.75
2021-12-14,-0.8134,4.021,0.825,1.074,,21,527.86
2021-12-15,-0.6921,3.047,0.82,1.341,,28,541.18
2021-12-16,-0.5855,3.218,0.819,0.482,,29,526.0
2021-12-17,-0.4017,3.511,0.793,1.376,,23,525.5
2021-12-18,-0.29,3.065,0.849,0.903,,24,533.68
2021-12-19,-0.1576,3.125,0.854,0.738,,29,529.71
2021-12-20,-0.0522,4.208,0.833,0.559,,25,523.96
2021-12-21,0.0,2.997,0.802,0.41,,27,528.46
2021-12-22,0.0,3.302,0.821,1.213,,45,533.74
2021-12-23,0.0,3.155,0.872,2.207,,34,548.92
2021-12-24,0.0,3.349,0.861,2.711,,41,542.2
2021-12-25,0.0,3.613,0.852,0.947,,39,547.5
2021-12-26,0.0,3.557,0.849,1.659,,37,546.43
2021-12-27,0.0,2.411,0.862,0.726,,40,563.79
2021-12-28,0.0,4.201,0.861,0.498,,41,534.13
2021-12-29,0.0,4.483,0.828,1.051,,27,514.49
2021-12-30,0.0,5.24,0.754,0.719,,22,518.41
2021-12-31,0.0,,,,,28,511.56
2022-01-01,0.0,,,,,21,527.34
2022-01-02,0.0,,,,,29,530.91
2022-01-03,0.0,,,,,29,512.24
2022-01-04,0.0074,,,,,23,506.88
2022-01-05,0.0074,,,,,24,473.95
2022-01-06,0.0074,,,,,15,472.46
2022-01-07,0.0074,,,,,18,448.1
2022-01-08,0.0074,,,,,10,429.59
2022-01-09,-0.0207,,,,,23,438.33
2022-01-10,-0.0663,,,,,23,424.54
2022-01-11,-0.1011,,,,,21,462.87
2022-01-12,-0.3919,,,,,22,487.5
2022-01-13,-0.6955,,,,,21,474.36
2022-01-14,-0.962,,,,,21,489.51
2022-01-15,-1.203,,,,,23,493.75
2022-01-16,-1.4538,,,,,21,497.95
2022-01-17,-1.6651,,,,,22,474.69
2022-01-18,-1.7858,,,,,24,470.53
2022-01-19,-1.6827,3.219,,,,24,461.54
2022-01-20,-1.4691,3.976,,,,24,440.05
2022-01-21,-1.2026,4.337,,,,19,383.57
