date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.2429,10.534,0.952,0.775,,34,0.20929
2021-12-02,0.2348,9.823,0.952,0.381,,32,0.20966
2021-12-03,0.21,10.372,0.946,1.443,,31,0.19985
2021-12-04,0.0645,4.967,0.932,0.494,,25,0.17816
2021-12-05,0.0563,4.862,0.909,1.23,,18,0.17123
2021-12-06,0.0254,4.584,0.9,2.325,,16,0.17745
2021-12-07,0.0026,4.589,0.889,0.865,,25,0.17622
2021-12-08,-0.0207,4.62,0.888,1.209,,28,0.17905
2021-12-09,-0.0539,4.908,0.879,0.528,,29,0.16886
2021-12-10,-0.0682,5.384,0.859,0.687,,24,0.16394
2021-12-11,0.0701,5.216,0.865,0.844,,16,0.16886
2021-12-12,0.0662,5.1,0.865,1.474,,27,0.16954
2021-12-13,0.0732,5.171,0.863,0.775,,28,0.1572
2021-12-14,0.0636,2.29,0.81,1.103,,21,0.19075
2021-12-15,0.0693,3.719,0.769,0.916,,28,0.18092
2021-12-16,0.1024,4.66,0.778,0.724,,29,0.17309
2021-12-17,0.1168,4.781,0.76,0.664,,23,0.1684
2021-12-18,0.124,4.669,0.753,0.903,,24,0.17227
2021-12-19,0.1361,4.811,0.771,1.055,,29,0.16935
2021-12-20,0.152,5.376,0.798,0.827,,25,0.16714
2021-12-21,0.1664,4.959,0.859,0.407,,27,0.17073
2021-12-22,0.184,5.069,0.883,1.042,,45,0.17297
2021-12-23,0.184,4.446,0.896,0.964,,34,0.18504
2021-12-24,0.184,4.469,0.932,0.744,,41,0.18623
2021-12-25,0.184,4.448,0.928,0.988,,39,0.19081
2021-12-26,0.184,4.751,0.934,0.623,,37,0.18976
2021-12-27,0.192,5.236,0.935,0.903,,40,0.18785
2021-12-28,0.21,6.397,0.902,0.755,,41,0.17373
2021-12-29,0.2069,7.01,0.92,1.452,,27,0.16789
2021-12-30,0.2069,6.234,0.914,0.75,,22,0.17101
2021-12-31,0.2069,,,,,28,0.17028
2022-01-01,0.2069,,,,,21,0.17316
2022-01-02,0.2069,,,,,29,0.17439
2022-01-03,0.2069,,,,,29,0.17022
2022-01-04,0.2069,,,,,23,0.16835
2022-01-05,0.21,,,,,24,0.15887
2022-01-06,0.1535,,,,,15,0.15988
2022-01-07,0.0973,,,,,18,0.15506
2022-01-08,0.0849,,,,,10,0.15094
2022-01-09,0.0265,,,,,23,0.15042
2022-01-10,-0.0787,,,,,23,0.14295
2022-01-11,-0.124,,,,,21,0.1537
