date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.2838,2.162,0.982,1.367,,34,4586.66
2021-12-02,0.2587,2.713,0.973,0.571,,32,4514.32
2021-12-03,0.228,3.618,0.951,0.983,,31,4213.66
2021-12-04,0.2246,2.575,0.944,1.957,,25,4115.79
2021-12-05,0.2246,1.946,0.967,1.062,,18,4197.53
2021-12-06,0.2246,1.657,0.933,1.05,,16,4345.2
2021-12-07,0.2125,1.565,0.943,1.258,,25,4305.82
2021-12-08,0.2062,1.415,0.936,2.374,,28,4435.33
2021-12-09,0.2062,2.004,0.915,0.315,,29,4103.8
2021-12-10,0.1926,2.362,0.93,0.693,,24,3895.95
2021-12-11,0.1947,2.137,0.924,1.038,,16,4089.81
2021-12-12,0.1947,1.953,0.92,1.131,,27,4129.0
2021-12-13,0.1729,2.373,0.898,1.766,,28,3780.63
2021-12-14,0.1606,2.234,0.915,1.572,,21,3856.66
2021-12-15,0.1606,1.672,0.952,1.367,,28,4019.01
2021-12-16,0.1538,1.856,0.934,0.923,,29,3958.67
2021-12-17,0.1649,2.16,0.895,1.187,,23,3873.93
2021-12-18,0.1616,1.945,0.914,0.519,,24,3957.64
2021-12-19,0.1559,2.067,0.918,0.927,,29,3922.51
2021-12-20,0.1777,1.845,0.909,0.524,,25,3943.48
2021-12-21,0.193,1.703,0.963,0.502,,27,4014.38
2021-12-22,0.193,1.961,0.952,0.843,,45,3978.62
2021-12-23,0.1932,1.772,0.988,2.493,,34,4111.3
2021-12-24,0.1932,2.184,0.958,1.254,,41,4045.0
2021-12-25,0.1977,2.081,0.963,1.035,,39,4093.87
2021-12-26,0.2034,2.296,0.933,1.454,,37,4062.24
2021-12-27,0.2034,2.601,0.927,0.424,,40,4037.36
2021-12-28,0.1899,3.184,0.903,0.434,,41,3791.99
2021-12-29,0.1848,3.252,0.903,0.849,,27,3628.55
2021-12-30,0.1799,3.055,0.902,0.957,,22,3708.37
2021-12-31,0.1677,,,,,28,3676.02
2022-01-01,0.1677,,,,,21,3763.06
2022-01-02,0.1505,,,,,29,3826.21
2022-01-03,0.14,,,,,29,3764.07
2022-01-04,0.1535,,,,,23,3785.6
2022-01-05,0.1586,,,,,24,3537.71
2022-01-06,0.1598,,,,,15,3404.6
2022-01-07,0.1639,,,,,18,3196.58
2022-01-08,0.1639,,,,,10,3080.03
2022-01-09,0.1593,,,,,23,3150.0
2022-01-10,0.1205,,,,,23,3081.31
2022-01-11,0.1094,,,,,21,3236.86
2022-01-12,0.0608,,,,,22,3369.93
2022-01-13,0.0473,,,,,21,3240.36
2022-01-14,0.0441,,,,,21,3305.6
2022-01-15,0.0437,,,,,23,3324.05
2022-01-16,0.0561,,,,,21,3345.49
2022-01-17,0.0764,,,,,22,3208.61
2022-01-18,0.0787,,,,,24,3159.32
2022-01-19,0.1156,2.501,,,,24,3082.81
2022-01-20,0.1394,3.047,,,,24,2999.92
2022-01-21,0.1224,2.304,,,,19,2566.91
2022-01-22,0.1192,1.938,,,,13,2410.96
2022-01-23,0.0901,1.956,,,,11,2538.41
2022-01-24,0.0974,1.582,,,,13,2438.13
2022-01-25,0.0758,1.511,,,,12,2457.37
2022-01-26,0.0255,1.745,,,,23,2461.61
2022-01-27,-0.0247,1.91,,,,20,2422.61
2022-01-28,-0.0432,1.366,,,,24,2543.34
2022-01-29,-0.0615,1.368,,,,24,2599.94
2022-01-30,-0.0537,1.299,0.943,1.314,,29,2600.45
2022-01-31,-0.0686,1.173,,,,20,2685.34
2022-02-01,-0.0894,1.084,,,,26,2786.38
2022-02-02,-0.0632,1.437,,,,28,2678.0
2022-02-03,-0.0948,1.283,,,,20,2694.37
2022-02-04,-0.0492,0.967,,,,20,2993.65
2022-02-05,-0.0355,0.991,,,,33,3011.59
2022-02-06,-0.0048,1.13,,,,37,3054.26
2022-02-07,0.0108,1.231,,,,45,3138.55
2022-02-08,0.0512,1.378,,,,48,3115.23
2022-02-09,0.074,1.159,,,,54,3241.82
2022-02-10,0.1217,1.491,,,,50,3070.9
2022-02-11,0.0868,1.654,,,,50,2926.04
2022-02-12,0.095,1.627,,,,44,2916.93
2022-02-13,0.07,1.715,,,,44,2870.32
2022-02-14,0.0866,1.512,,,,46,2928.87
2022-02-15,0.0741,1.35,,,,46,3183.73
2022-02-16,0.0872,1.531,,,,51,3121.8
2022-02-17,0.1077,1.9,,,,52,2890.8
2022-02-18,0.1042,1.915,,,,30,2778.46
2022-02-19,0.0961,1.962,,,,25,2761.89
2022-02-20,0.0965,1.866,,,,27,2620.72
2022-02-21,0.071,1.836,,,,25,2566.88
2022-02-22,0.0673,1.649,,,,20,2635.57
2022-02-23,0.0389,1.871,,,,25,2578.02
2022-02-24,0.0117,1.541,,,,23,2595.47
2022-02-25,0.0513,1.375,,,,27,2766.36
2022-02-26,0.0593,1.354,,,,26,2778.15
2022-02-27,0.0745,1.678,,,,26,2615.99
2022-02-28,0.056,1.339,,,52.2,20,2920.1
2022-03-01,0.0828,1.326,,,71.1,51,2975.61
2022-03-02,0.1112,1.345,,,68.9,52,2947.47
2022-03-03,0.152,1.756,,,65.6,39,2832.97
2022-03-04,0.152,1.943,,,37.8,33,2620.25
2022-03-05,0.1318,2.057,,,40.0,22,2663.55
2022-03-06,0.1156,2.041,,,32.2,22,2549.37
2022-03-07,0.1456,2.149,,,1.1,23,2489.9
2022-03-08,0.1256,1.826,,,30.0,21,2575.49
2022-03-09,0.1218,1.589,,,40.0,22,2726.37
2022-03-10,0.1035,1.91,,,26.7,28,2605.44
2022-03-11,0.0783,2.047,,,25.6,22,2555.89
2022-03-12,0.0898,1.941,,,26.7,22,2567.64
2022-03-13,0.0949,2.173,,,27.8,21,2514.07
2022-03-14,0.093,2.039,,,31.1,23,2588.96
2022-03-15,0.0878,1.65,,,42.2,21,2617.29
2022-03-16,0.0861,1.349,,,57.8,24,2772.78
2022-03-17,0.1045,1.167,,,68.9,27,2810.74
2022-03-18,0.1202,1.038,,,78.9,25,2938.02
2022-03-19,0.129,1.063,,,77.8,28,2950.0
2022-03-20,0.1495,1.284,,,63.3,31,2860.47
2022-03-21,0.1699,1.325,,,75.6,30,2889.08
2022-03-22,0.1951,1.266,,,86.7,26,2968.49
2022-03-23,0.1855,1.279,,,77.8,31,3035.55
2022-03-24,0.1737,0.974,,,98.9,40,3109.89
2022-03-25,0.1831,1.074,,,90.0,47,3101.37
2022-03-26,0.1781,1.074,,,93.3,51,3143.47
2022-03-27,0.1547,0.985,,,100.0,49,3295.01
2022-03-28,0.1547,1.017,,,97.8,60,3333.62
2022-03-29,0.153,1.135,,,94.4,56,3399.0
2022-03-30,0.168,1.226,,,90.0,55,3385.1
2022-03-31,0.1798,1.251,,,86.7,52,3281.43
2022-04-01,0.1798,1.139,,,92.2,50,3454.33
2022-04-02,0.1849,1.129,,,91.1,52,3443.07
2022-04-03,0.2083,1.185,,,100.0,48,3520.76
2022-04-04,0.2012,1.162,,,97.8,52,3518.96
2022-04-05,0.2009,1.45,,,93.3,53,3405.04
2022-04-06,0.1719,1.633,,,74.4,48,3166.78
2022-04-07,0.1454,1.663,,,74.4,34,3225.15
2022-04-08,0.1122,1.464,,,78.9,37,3191.26
2022-04-09,0.1122,1.384,,,82.2,30,3257.53
2022-04-10,0.1082,1.497,,,80.0,34,3200.24
2022-04-11,0.11,1.667,,,52.2,32,2978.69
2022-04-12,0.0586,1.847,,,56.7,20,3026.3
2022-04-13,0.0417,1.611,,,68.9,25,3116.45
2022-04-14,0.0385,1.848,,,65.6,28,3019.82
2022-04-15,0.0254,1.813,,,66.7,22,3039.19
2022-04-16,-0.0231,1.781,,,66.7,28,3057.99
2022-04-17,-0.0501,1.854,,,57.8,28,2986.03
2022-04-18,-0.0976,1.7,,,60.0,24,3054.02
2022-04-19,-0.0595,1.776,,,70.0,27,3100.42
2022-04-20,-0.0271,1.848,,,51.1,27,3074.01
2022-04-21,-0.051,2.155,,,54.4,27,2981.31
2022-04-22,-0.0665,2.358,,,64.4,26,2960.38
2022-04-23,-0.0628,2.4,,,62.2,24,2930.28
2022-04-24,-0.0762,2.503,,,63.3,24,2918.97
2022-04-25,-0.0866,2.021,,,63.3,23,3006.11
2022-04-26,-0.0763,2.339,,,42.2,27,2807.88
2022-04-27,-0.1302,1.957,,,43.3,21,2887.57
2022-04-28,-0.1041,1.739,,,38.9,24,2935.39
2022-04-29,-0.0478,2.242,,,36.7,23,2815.37
2022-04-30,-0.0527,2.201,,,35.6,20,2725.1
2022-05-01,-0.0661,2.054,0.894,,35.6,22,2823.38
2022-05-02,-0.0359,1.724,,,35.6,28,2855.16
2022-05-03,-0.0369,2.061,,,31.1,27,2780.91
2022-05-04,0.0296,1.725,,,38.9,21,2939.76
2022-05-05,0.0571,2.658,,,32.2,27,2746.37
2022-05-06,0.0226,2.595,,,28.9,22,2691.59
2022-05-07,0.0655,2.622,,,26.7,23,2634.82
2022-05-08,0.1232,2.296,,,20.0,18,2518.9
2022-05-09,0.1554,1.868,,1.323,2.2,11,2227.48
2022-05-10,0.1574,1.986,,0.939,2.2,10,2340.86
2022-05-11,0.1534,1.783,,1.002,2.2,12,2083.98
2022-05-12,-0.0035,1.434,,0.875,2.2,12,1959.78
2022-05-13,-0.0214,1.4,,1.117,3.3,10,2008.49
2022-05-14,-0.0235,1.484,,0.951,4.4,9,2055.0
2022-05-15,-0.0291,1.335,,0.504,5.6,10,2144.07
2022-05-16,-0.0386,1.508,,0.811,2.2,14,2022.89
2022-05-17,-0.072,1.384,,0.493,6.7,8,2090.0
2022-05-18,-0.0989,1.711,,0.967,4.4,12,1914.2
2022-05-19,0.0269,1.446,,0.779,8.9,13,2019.46
2022-05-20,0.0814,1.772,,1.849,3.3,13,1958.69
2022-05-21,0.0673,1.641,,0.408,2.2,13,1973.94
