date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2025-05-30,,0.402,1.14,1.535,,60,32.816
2025-05-31,,0.629,0.997,1.241,,50,32.671
2025-06-01,,0.64,1.033,1.352,,56,34.152
2025-06-02,,0.599,1.181,1.037,,64,36.474
2025-06-03,,0.508,1.137,0.773,,64,36.092
2025-06-04,,0.545,1.027,0.792,,62,35.632
2025-06-05,0.264,0.715,1.395,2.293,,57,34.024
2025-06-06,0.3124,0.755,1.917,1.056,,45,33.333
2025-06-07,0.3825,0.706,1.89,2.686,,52,34.921
2025-06-08,0.3958,0.745,1.735,1.663,,62,34.984
2025-06-09,0.3461,0.736,1.277,0.889,,62,38.848
2025-06-10,0.3906,0.718,1.346,0.72,,71,42.241
2025-06-11,0.4276,0.692,1.374,1.947,,72,41.828
2025-06-12,0.3917,0.729,1.347,0.394,,71,40.516
2025-06-13,0.4192,0.775,1.214,1.033,,61,42.297
2025-06-14,0.4802,0.856,1.219,0.952,,63,40.13
2025-06-15,0.4868,0.724,1.169,0.93,,60,41.193
2025-06-16,0.5693,0.723,1.228,0.721,,61,41.918
2025-06-17,0.5733,0.949,1.114,1.449,,68,39.968
2025-06-18,0.5395,1.046,1.23,1.213,,52,39.48
2025-06-19,0.5291,1.086,1.258,2.259,,57,36.876
2025-06-20,0.4695,1.031,1.105,0.927,,54,33.387
2025-06-21,0.4085,0.93,1.031,1.019,,49,34.421
2025-06-22,0.4281,1.104,1.111,0.559,,42,35.754
2025-06-23,0.343,1.127,1.354,0.636,,47,38.175
2025-06-24,0.2753,1.196,1.33,1.207,,65,37.512
2025-06-25,0.2506,1.177,1.347,0.857,,66,37.016
2025-06-26,0.2295,1.209,1.578,0.911,,74,35.803
2025-06-27,0.2312,1.192,1.532,1.315,,65,36.622
2025-06-28,0.2312,1.137,1.519,2.131,,65,37.798
2025-06-29,0.1978,1.209,1.523,0.478,,68,39.775
2025-06-30,0.2344,1.572,1.479,0.85,,66,39.55
2025-07-01,0.2472,1.663,1.559,0.591,,64,36.909
2025-07-02,0.2577,0.837,1.629,0.626,,63,39.877
2025-07-03,0.2618,1.098,1.714,1.018,,73,40.254
2025-07-04,0.2585,1.201,1.732,0.834,,73,38.962
2025-07-05,0.2585,1.288,1.728,0.454,,67,39.143
2025-07-06,0.2526,1.24,1.776,0.555,,66,39.829
2025-07-07,0.2078,1.276,1.69,1.411,,73,38.546
2025-07-08,0.1673,1.081,1.814,0.481,,65,38.806
2025-07-09,0.1503,1.096,1.665,1.095,,66,40.673
2025-07-10,0.1321,1.179,1.559,1.089,,71,43.813
2025-07-11,0.1354,1.525,1.86,1.196,,71,46.383
2025-07-12,0.1428,1.389,1.661,1.138,,79,47.09
2025-07-13,0.1428,1.394,1.653,1.897,,74,48.95
2025-07-14,0.161,1.714,1.767,0.909,,74,47.608
2025-07-15,0.249,1.307,1.75,0.975,,73,47.867
2025-07-16,0.2741,1.452,1.777,0.564,,70,46.987
