date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.2869,3.934,0.983,0.768,,34,229.812
2021-12-02,0.2563,3.351,0.985,0.715,,32,233.677
2021-12-03,0.21,7.174,1.014,0.873,,31,211.607
2021-12-04,0.1895,5.194,0.914,2.122,,25,200.583
2021-12-05,0.1895,5.282,0.917,0.815,,18,196.317
2021-12-06,0.1895,4.452,0.915,0.868,,16,193.518
2021-12-07,0.1766,4.401,0.914,1.079,,25,190.155
2021-12-08,0.1766,4.957,0.914,0.948,,28,194.539
2021-12-09,0.1766,5.292,0.904,0.692,,29,181.04
2021-12-10,0.1766,5.864,0.939,0.48,,24,167.229
2021-12-11,0.1971,6.11,0.937,0.995,,16,172.09
2021-12-12,0.1971,5.68,0.931,1.234,,27,172.799
2021-12-13,0.1971,5.651,0.957,0.814,,28,155.19
2021-12-14,0.1875,5.058,0.932,1.441,,21,161.16
2021-12-15,0.1875,3.209,0.939,1.496,,28,178.43
2021-12-16,0.1849,2.446,0.951,1.25,,29,176.92
2021-12-17,0.1849,3.253,0.918,0.88,,23,175.51
2021-12-18,0.1849,2.674,0.923,0.626,,24,182.68
2021-12-19,0.1849,3.002,0.925,0.915,,29,179.86
2021-12-20,0.1849,3.903,0.902,0.501,,25,173.91
2021-12-21,0.2074,3.336,0.943,1.301,,27,179.56
2021-12-22,0.2074,4.161,0.992,2.493,,45,178.37
2021-12-23,0.21,3.736,1.013,2.591,,34,190.11
2021-12-24,0.21,3.831,1.016,1.075,,41,190.36
2021-12-25,0.21,3.879,1.01,1.653,,39,193.0
2021-12-26,0.21,3.173,1.022,0.584,,37,197.8
2021-12-27,0.21,3.509,1.021,0.358,,40,195.71
2021-12-28,0.21,5.291,1.076,0.891,,41,177.2
2021-12-29,0.21,5.669,1.173,1.222,,27,170.66
2021-12-30,0.21,5.217,1.159,0.598,,22,172.48
2021-12-31,0.21,,,,,28,169.98
2022-01-01,0.21,,,,,21,179.05
2022-01-02,0.21,,,,,29,176.29
2022-01-03,0.21,,,,,29,170.18
2022-01-04,0.21,,,,,23,167.83
2022-01-05,0.21,,,,,24,154.38
2022-01-06,0.21,,,,,15,150.26
2022-01-07,0.21,,,,,18,136.43
2022-01-08,0.21,,,,,10,142.15
2022-01-09,0.21,,,,,23,140.77
2022-01-10,0.21,,,,,23,135.73
2022-01-11,0.21,,,,,21,140.13
2022-01-12,0.21,,,,,22,151.48
2022-01-13,0.21,,,,,21,146.1
2022-01-14,0.21,,,,,21,146.13
2022-01-15,0.21,,,,,23,147.57
2022-01-16,0.21,,,,,21,147.92
2022-01-17,0.21,,,,,22,139.74
2022-01-18,0.21,,,,,24,141.19
2022-01-19,0.21,6.355,,,,24,135.21
2022-01-20,0.21,6.788,,,,24,127.45
2022-01-21,0.2048,5.275,,,,19,112.2
2022-01-22,0.1919,3.865,,,,13,94.46
2022-01-23,0.1104,4.341,,,,11,99.67
2022-01-24,0.0659,3.429,,,,13,91.85
2022-01-25,0.0107,3.434,,,,12,94.54
2022-01-26,-0.0646,3.863,,,,23,92.06
2022-01-27,-0.1477,4.433,,,,20,89.43
2022-01-28,-0.215,3.674,,,,24,91.29
2022-01-29,-0.2295,3.435,,,,24,96.11
2022-01-30,-0.203,3.754,0.883,1.152,,29,93.15
2022-01-31,-0.2302,2.295,,,,20,99.48
2022-02-01,-0.2159,1.666,,,,26,109.97
2022-02-02,-0.1819,2.751,,,,28,101.84
2022-02-03,-0.1364,2.836,,,,20,101.76
2022-02-04,-0.1202,1.795,,,,20,112.57
2022-02-05,-0.0976,2.034,,,,33,113.66
2022-02-06,-0.0494,2.372,,,,37,115.18
2022-02-07,-0.0022,2.967,,,,45,117.46
2022-02-08,-0.0321,3.902,,,,48,113.37
2022-02-09,-0.0222,4.101,,,,54,113.9
2022-02-10,-0.0407,4.635,,,,50,106.09
2022-02-11,-0.0323,5.241,,,,50,96.44
2022-02-12,-0.0695,5.454,,,,44,95.88
