date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.2288,4.818,0.907,0.354,,34,20.968
2021-12-02,0.2288,2.676,0.888,0.357,,32,22.436
2021-12-03,0.21,5.957,0.934,0.594,,31,19.937
2021-12-04,0.2018,3.856,0.876,1.795,,25,17.174
2021-12-05,0.2018,3.763,0.873,1.138,,18,16.526
2021-12-06,0.2018,3.214,0.854,1.065,,16,17.295
2021-12-07,0.1866,3.357,0.859,2.237,,25,17.136
2021-12-08,0.1866,2.739,0.869,0.676,,28,18.724
2021-12-09,0.1786,4.551,0.836,0.552,,29,16.15
2021-12-10,0.1551,4.627,0.853,0.692,,24,15.131
2021-12-11,0.1584,4.75,0.845,1.554,,16,15.893
2021-12-12,0.1388,4.383,0.848,2.137,,27,15.994
2021-12-13,0.1355,4.49,0.851,0.998,,28,14.146
2021-12-14,0.1507,3.893,0.85,1.161,,21,14.974
2021-12-15,0.1465,3.365,0.863,1.678,,28,15.196
2021-12-16,0.1545,4.432,0.863,0.701,,29,14.405
2021-12-17,0.1672,3.477,0.849,1.57,,23,14.969
2021-12-18,0.172,2.443,0.884,0.882,,24,15.565
2021-12-19,0.1917,3.666,0.872,2.604,,29,14.952
2021-12-20,0.195,5.278,0.906,0.593,,25,14.506
2021-12-21,0.195,3.665,0.949,0.405,,27,15.041
2021-12-22,0.1991,2.623,0.981,0.735,,45,16.209
2021-12-23,0.1991,2.193,1.0,0.952,,34,18.171
2021-12-24,0.21,2.045,1.051,1.432,,41,17.505
2021-12-25,0.21,2.628,1.09,2.17,,39,17.465
2021-12-26,0.21,2.143,1.083,2.102,,37,18.659
2021-12-27,0.21,1.482,1.079,1.006,,40,19.127
2021-12-28,0.21,2.23,1.102,0.886,,41,18.395
2021-12-29,0.21,3.378,1.186,0.946,,27,17.124
2021-12-30,0.21,3.55,1.126,0.787,,22,17.779
2021-12-31,0.21,,,,,28,16.996
2022-01-01,0.21,,,,,21,17.462
2022-01-02,0.209,,,,,29,18.398
2022-01-03,0.209,,,,,29,18.463
2022-01-04,0.209,,,,,23,18.205
2022-01-05,0.209,,,,,24,17.098
2022-01-06,0.209,,,,,15,17.052
2022-01-07,0.2078,,,,,18,15.761
2022-01-08,0.2078,,,,,10,14.92
2022-01-09,0.2087,,,,,23,15.806
2022-01-10,0.2038,,,,,23,15.107
2022-01-11,0.2038,,,,,21,15.961
2022-01-12,0.2038,,,,,22,16.277
2022-01-13,0.2038,,,,,21,15.45
2022-01-14,0.205,,,,,21,15.85
2022-01-15,0.205,,,,,23,16.468
2022-01-16,0.205,,,,,21,17.842
2022-01-17,0.21,,,,,22,16.628
2022-01-18,0.21,,,,,24,15.967
2022-01-19,0.2037,3.316,,,,24,15.107
2022-01-20,0.2037,3.591,,,,24,14.447
2022-01-21,0.1998,4.083,,,,19,12.634
2022-01-22,0.1906,3.739,,,,13,11.133
2022-01-23,0.1753,3.473,,,,11,11.412
2022-01-24,0.1718,3.464,,,,13,10.679
2022-01-25,0.1718,2.636,,,,12,10.58
2022-01-26,0.1781,3.246,,,,23,10.582
2022-01-27,0.1724,2.639,,,,20,10.308
2022-01-28,0.1738,3.197,,,,24,10.654
